State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttarakhand,5,3,2022,3,4,0,1,Suresh Singh Chauhan,M,BJP,29619,54,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,49.66,no,8029,13.46,2.56,AEUK2024650,National Party,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,2,Vijaypal Singh Sajwan,M,INC,21590,63,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,36.2,no,15429,25.87,2.56,AEUK100165,National Party,3482,TRUE,5,INC,3482,GANGOTRI,TRUE,TRUE,2,FALSE,FALSE,TRUE,Post Graduate,Business,Rent,Retired or Pension,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,3,Ajay Kothiyal,M,AAAP,6161,52,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,10.33,yes,5685,9.53,2.56,AEUK2024649,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Other,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,4,Navneet Uniyal,M,IND,476,36,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.8,yes,82,0.14,2.56,AEUK2024645,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Others,Agriculture,,Social Work,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,5,Budhi Lal,M,BSP,394,56,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.66,yes,22,0.04,2.56,AEUK2024653,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,6,Mahavir Prasad,M,CPI,372,61,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.62,yes,21,0.04,2.56,AEUK100169,State-based Party,2444,TRUE,2,CPI,2444,GANGOTRI,TRUE,TRUE,0,FALSE,FALSE,TRUE,Post Graduate,Business,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,7,Jasveer Singh,M,UKKD,351,27,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.59,yes,80,0.13,2.56,AEUK2024648,Local Party,13023,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Business,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,8,Babu Lal Ghoghiyal,M,Jai Maha Bharath Party,271,66,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.45,yes,30,0.05,2.56,AEUK2024647,Local Party,4036,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,9,None Of The Above,,NOTA,241,,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.4,,67,0.11,2.56,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,3,2022,3,4,0,10,Vijay Bahuguna,M,SP,174,33,,59649,89522,GANGOTRI,GEN,UTTARKASHI,GARHWAL,9,66.63,0.29,yes,0,0,2.56,AEUK2024646,State-based Party,7425,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,1,Rajendra Singh Bhandari,M,INC,32661,57,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,47.88,no,2066,3.03,2.33,AEUK2024258,National Party,3482,TRUE,4,INC,3482,BADRINATH,TRUE,TRUE,3,FALSE,FALSE,TRUE,Post Graduate,Politics,"Ex MLA, Ex Minister",,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,2,Mahendra Bhatt,M,BJP,30595,50,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,44.85,no,29724,43.58,2.33,AEUK100173,National Party,1605,TRUE,3,BJP,1605,BADRINATH,TRUE,TRUE,2,FALSE,TRUE,TRUE,Post Graduate,Other,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,3,Bhagwati  Prasad Mandoli,M,AAAP,871,32,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,1.28,yes,18,0.03,2.33,AEUK2024658,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,4,None Of The Above,,NOTA,853,,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,1.25,,55,0.08,2.33,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,5,Vinod Joshi,M,CPI,798,39,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,1.17,yes,246,0.36,2.33,AEUK2024661,State-based Party,2444,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,6,Mukesh Lal Koshwal,M,BSP,552,68,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.81,yes,71,0.1,2.33,AEUK100177,State-based Party,16651,TRUE,2,BSP,16651,BADRINATH,TRUE,TRUE,0,FALSE,FALSE,TRUE,Literate,Labourer or Daily Wage,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,7,Shailendra Prakash Singh,M,IND,481,36,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.71,yes,84,0.12,2.33,AEUK2024655,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,8,Pushkar Lal Baichhwal,M,Peoples Party of India (Democratic),397,61,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.58,yes,54,0.08,2.33,AEUK2024660,Local Party,6054,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Retired or Pension,Retired or Pension,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,9,Beeru Sajwan,M,UKKD,343,37,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.5,yes,63,0.09,2.33,AEUK2024659,Local Party,13023,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,10,Dheerendra Pal Singh,M,IND,280,31,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.41,yes,70,0.1,2.33,AEUK2024657,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Other,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,11,Mukund Singh,M,IND,210,54,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.31,yes,40,0.06,2.33,AEUK2024656,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Illiterate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,4,2022,3,4,0,12,Sunil Che,M,IND,170,43,,68211,106330,BADRINATH,GEN,CHAMOLI,GARHWAL,11,64.15,0.25,yes,0,0,2.33,AEUK2024654,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,1,Bhupal Ram Tamta,M,BJP,32852,63,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,51.66,no,8302,13.06,2.38,AEUP74047,National Party,1605,TRUE,2,INC,3482,PINDAR,FALSE,FALSE,1,TRUE,FALSE,FALSE,10th Pass,Retired or Pension,,,,State Assembly Election (AE)
