State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Madras,4,40,1967,2,2,0,5,MANI,M,IND,350,,,67613,88490,VELLORE,GEN,,,6,76.41,0.52,yes,158,0.23,2.04,AEMD84449,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,40,1967,2,2,0,6,S. UDAYAR,M,BJS,192,,,67613,88490,VELLORE,GEN,,,6,76.41,0.28,yes,0,0,2.04,AEMD84450,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,41,1967,2,2,0,1,A. C. NARASIMHAN,M,DMK,38038,,,62621,82278,ARNI,GEN,,,4,76.11,60.74,no,20718,33.08,2.17,AEMD84451,State-based Party,10192,TRUE,2,DMK,,ARNI,TRUE,TRUE,1,FALSE,FALSE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,41,1967,2,2,0,2,T. B. J. CHETTIAR,M,INC,17320,,,62621,82278,ARNI,GEN,,,4,76.11,27.66,no,11440,18.27,2.17,AEMD84452,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,41,1967,2,2,0,3,M. MUNISWAMY,M,IND,5880,,,62621,82278,ARNI,GEN,,,4,76.11,9.39,yes,4497,7.18,2.17,AEMD84453,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,41,1967,2,2,0,4,K. P. K. NAICKER,M,IND,1383,,,62621,82278,ARNI,GEN,,,4,76.11,2.21,yes,0,0,2.17,AEMD84454,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,42,1967,2,2,0,1,K. GOVINDAN,M,DMK,37068,,,67570,85337,CHEYYAR,GEN,,,4,79.18,54.86,no,19673,29.11,2.5,AEMD84455,State-based Party,10192,TRUE,2,DMK,,CHEYYAR,TRUE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,42,1967,2,2,0,2,K. M. KANGAN,M,INC,17395,,,67570,85337,CHEYYAR,GEN,,,4,79.18,25.74,no,6300,9.32,2.5,AEMD84456,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,42,1967,2,2,0,3,P. NAICKER,M,IND,11095,,,67570,85337,CHEYYAR,GEN,,,4,79.18,16.42,yes,9083,13.44,2.5,AEMD84457,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,42,1967,2,2,0,4,P. K. CHANDRAN,M,IND,2012,,,67570,85337,CHEYYAR,GEN,,,4,79.18,2.98,yes,0,0,2.5,AEMD84458,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,43,1967,2,2,0,1,MUTHULINGAM,M,DMK,38626,,,63060,93447,WANDIWASH,SC,,,4,67.48,61.25,no,17326,27.48,2.04,AEMD272536,State-based Party,10192,TRUE,2,DMK,,WANDIWASH (SC),FALSE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,43,1967,2,2,0,2,A. ADINEELAM,M,INC,21300,,,63060,93447,WANDIWASH,SC,,,4,67.48,33.78,no,19397,30.76,2.04,AEMD84460,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,43,1967,2,2,0,3,C. KUPPUSAMI,M,RPI,1903,,,63060,93447,WANDIWASH,SC,,,4,67.48,3.02,yes,672,1.07,2.04,AEMD84461,State-based Party (Other State),6911,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,43,1967,2,2,0,4,M. KARUNAIPRAKASAM,M,IND,1231,,,63060,93447,WANDIWASH,SC,,,4,67.48,1.95,yes,0,0,2.04,AEMD84462,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,44,1967,2,2,0,1,V. D. A. MUDALY,M,DMK,29413,,,63601,85233,PERNAMALLUR,GEN,,,5,74.62,46.25,no,9188,14.45,2.94,AEMD84463,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,44,1967,2,2,0,2,P. RAMACHANDRAN,M,INC,20225,,,63601,85233,PERNAMALLUR,GEN,,,5,74.62,31.8,no,9511,14.95,2.94,AEMD84464,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,44,1967,2,2,0,3,P. ETTIAPPAN,M,IND,10714,,,63601,85233,PERNAMALLUR,GEN,,,5,74.62,16.85,no,8234,12.95,2.94,AETN211990,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,44,1967,2,2,0,4,D. K. NAIDU,M,IND,2480,,,63601,85233,PERNAMALLUR,GEN,,,5,74.62,3.9,yes,1711,2.69,2.94,AEMD84466,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
